Utterance	POV Converted Text
tell CN to watch for the train departure timing	HI CN, SCN asks you to watch for the train departure timing
tell CN to keep up the score till college completion	HI CN, SCN asks you to keep up the score till college completion
tell CN to buy a camera to record the interactive session	HI CN, SCN asks you to buy a camera to record the interactive session
remind CN to make preparation for the inaugural speech	HI CN, SCN reminds you to make preparation for the inaugural speech
tell CN to buy dress before the new year celebration	HI CN, SCN asks you to buy dress before the new year celebration
tell CN to go read book today afternoon	HI CN, SCN asks you to read book today afternoon
tell CN to go by cycling this weekend	HI CN, SCN asks you to go by cycling this weekend
tell CN to go asking for ideas to his mentor	HI CN, SCN asks you to go asking for ideas to your mentor
remind CN to send some invitation cards by tomorrow	HI CN, SCN reminds you to send some invitation cards by tomorrow
tell CN to buy a lock for the door	HI CN, SCN asks you to buy a lock for the door
tell CN to go see the sports activities today evening	HI CN, SCN asks you to go see the sports activities today evening
tell CN to look for the latest updates to be announced	HI CN, SCN asks to look for the latest updates to be announced
tell CN to turn on the switch	HI CN, SCN asks you to turn on the switch
remind CN to give a response by this weekend	HI CN, SCN reminds you to give a response by this weekend
tell CN to update the project status today evening	HI CN, SCN asks you to update the project status today evening
tell CN to find the way to school	HI CN, SCN asks you to find the way to school 
tell CN to collect the file tomorrow evening	HI CN, SCN asks you to collect the file tomorrow evening
tell CN to pay the fine in the post office 	HI CN, SCN asks you to pay the fine in the post office
tell CN to go to the pawn shop today evening by 4pm	HI CN, SCN asks you to go to the pawn shop today evening by 4pm
tell CN to attend the math test this weekend	HI CN, SCN asks you to attend the the math test this weekend
tell CN to attach the pipes	HI CN, SCN asks you to attach the pipes
ask CN how about some coffee while waking up	HI CN, SCN asks how about some coffee while waking up
tell CN that the data science role is pivotal	HI CN, SCN says that the data science role is pivotal
ask CN to choose between plum and cherry as his favourite	HI CN, SCN asks you to choose between plum and cherry as your favourite
remind CN to finish writing the content by tomorrow	HI CN, SCN reminds you to finish writing the content by tomorrow
tell CN to watch the sports news at 8pm	HI CN, SCN asks you to watch the sports news at 8pm
tell CN to give an introduction about criminology	HI CN, SCN asks you to give an introduction about criminology
tell CN to draw a minimalistic drawing tomorrow	HI CN, SCN asks you to draw a minimalistic drawing tomorrow
remind CN to create the storyline by the end of the day 	HI CN, SCN reminds you to create the storyline by the end of the day
remind CN to stitch the uniform by this week	hey CN, SCN is requesting you to stitch the uniform by this week
remind CN to buy cornflakes from supermarket	hey CN, SCN reminds you to buy cornflakes from supermarket
tell CN that the report is ready	hey CN, SCN tells that the report is ready
tell CN that I have paid the electricity bill	hi CN, SCN says that they have paid the electricity bill
tell CN that the washing machine is not working	hey CN, SCN is saying that the washing machine is not working
tell CN that the key is in the cupboard	hey CN, SCN tells that the key is in the cupboard
tell CN that I have joined the music class	hi CN, SCN says that they have joined the music class
remind CN to watch friends series in tv at 7pm	hi CN, SCN asks you to watch friends series in tv at 7pm
remind CN to call his apartment friends for the party	hey CN, SCN is requesting you to call your apartment friends for the party
tell CN to prepare the time table for the next day	hey CN, SCN reminds you to prepare the time table for the next day
remind CN to pickup my dad from tacoma	hey CN, SCN wants you to pickup their dad from tacoma
tell CN to teach with lots of patience	hi CN, SCN asks you to teach with lots of patience
remind CN to take cash while going to coffee shop	hey CN, SCN wants you to take cash while going to coffee shop
remind CN to call the event planner this evening	hey CN, SCN is requesting you to call the event planner this evening
remind CN to visit dentist tomorrow	hey CN, SCN wants you to visit dentist tomorrow
remind CN to go to the driving class tomorrow morning	hi CN, SCN asks you to go to the driving class tomorrow morning
tell CN to go to the tattoo shop in tacoma	hey CN, SCN is requesting you to go to the tattoo shop in tacoma
remind CN to go for a walk every morning	hey CN, SCN reminds you to go for a walk every morning
tell CN to eat an egg everyday	hey CN, SCN wants you to eat an egg everyday
remind CN to drink a cup of tea every morning	hi CN, SCN asks you to drink a cup of tea every morning
tell CN to sit on the first bench in the class	hey CN, SCN wants you to sit on the first bench in the class
remind CN to read newspaper daily	hey CN, SCN is requesting you to read newspaper daily
tell CN to take some snacks while going to the school	hey CN, SCN wants you to take some snacks while going to the school
remind CN to attend the personality development classes	hi CN, SCN asks you to attend the personality development classes
remind CN to go to the gym every morning	hey CN, SCN is requesting you to go to the gym every morning
tell CN to play cricket with the apartment friends	hey CN, SCN reminds you to play cricket with the apartment friends
tell CN to take a walk of about one kilometer every morning	hey CN, SCN wants you to take a walk of about one kilometer every morning
remind CN to take a meal prepared by his mom	hi CN, SCN asks you to take a meal prepared by your mom
remind CN to invite jack for the marriage function	hey CN, SCN wants you to invite jack for the marriage function
remind CN to take the tiffin while going to school	hey CN, SCN is requesting you to take the tiffin while going to school
remind CN to play some outdoor games	hey CN, SCN wants you to play some outdoor games
remind CN to wear the black shoes	hi CN, SCN asks you to wear the black shoes
remind CN to make an extra copy of certificates and call letter	hey CN, SCN is requesting you to make an extra copy of certificates and call letter
remind CN to put all certificates into a file	hey CN, SCN reminds you to put all certificates into a file
ask CN vanilla or chocolate	hi CN, SCN asks vanilla or chocolate
ask CN about the jumanji movie	hi CN, SCN asks about the jumanji movie
ask CN about the learning session he attended yesterday	hey CN, SCN is asking about the learning session you attended yesterday
ask CN about the new washing machine	hi CN, SCN asks about the new washing machine
tell CN to start saving money for the trip	hey CN, SCN wants you to start saving money for the trip
remind CN to plan a trip for 10 days	hi CN, SCN asks you to plan a trip for 10 days
remind CN to get a travel credit card tomorrow	hey CN, SCN is requesting you to get a travel credit card tomorrow
tell CN to check for last minute deals	hey CN, SCN reminds you to check for last minute deals
remind CN to set up online bill payment for the recurring bills	hey CN, SCN wants you to set up online bill payment for the recurring bills
remind CN to make copies of important documents	hi CN, SCN asks you to make copies of important documents
remind CN to buy redmi note 8 pro online	hey CN, SCN wants you to buy redmi note 8 pro online
remind CN to get some chicken 	hey CN, SCN is requesting you to get some chicken 
remind CN to change the pin number	hey CN, SCN wants you to change the pin number
remind CN to apply leave for good friday	hi CN, SCN asks you to apply leave for good friday
tell CN to arrive at the airport by 5pm	hey CN, SCN is requesting you to arrive at the airport by 5pm
remind CN to get ice cream from icy tai in yakima	hey CN, SCN reminds you to get ice cream from icy tai in yakima
remind CN to shortlist the candidates	hey CN, SCN wants you to shortlist the candidates
remind CN to bring the laptop tomorrow	hi CN, SCN asks you to bring the laptop tomorrow
remind CN to fill the survey by end of the day 	hey CN, SCN wants you to fill the survey by end of the day 
remind CN to pay the school fees before friday	hey CN, SCN is requesting you to pay the school fees before friday
remind CN to invite mike for the birthday party	hey CN, SCN wants you to invite mike for the birthday party
remind CN to clean the balcony this evening	hi CN, SCN asks you to clean the balcony this evening
remind CN to buy cookies while returning from work	hey CN, SCN is requesting you to buy cookies while returning from work
remind CN to bring the wallet 	hey CN, SCN reminds you to bring the wallet 
tell CN to return the money	hey CN, SCN wants you to return the money
remind CN to finalise the process	hi CN, SCN asks you to finalise the process
remind CN to take two copies of marksheet	hey CN, SCN wants you to take two copies of marksheet
remind CN to take the car key while leaving home	hey CN, SCN is requesting you to take the car key while leaving home
remind CN to sumbit the record note on friday	hey CN, SCN wants you to sumbit the record note on friday
remind CN to complete the critical task first	hi CN, SCN asks you to complete the critical task first
remind CN to buy party poppers	hey CN, SCN is requesting you to buy party poppers
tell CN to listen to the news every morning	hey CN, SCN reminds you to listen to the news every morning
remind CN to pack a meal while going to school	hey CN, SCN wants you to pack a meal while going to school
tell CN to listen to some music	hi CN, SCN asks you to listen to some music
remind CN to paint the room pink 	hey CN, SCN wants you to paint the room pink 
remind CN to book a cab for my dad after 1 hour	hey CN, SCN is requesting you to book a cab for their dad after 1 hour
tell CN that the blue colour shirt is missing	hey CN, SCN is saying that the blue colour shirt is missing
tell CN that the ticket status is not changed	hey CN, SCN tells that the ticket status is not changed
tell CN that the address in the passport is correct	hi CN, SCN says that the address in the passport is correct
tell CN I have bought a new laptop	hey CN, SCN is saying they have bought a new laptop
tell CN that the milk is in the fridge	hey CN, SCN tells that the milk is in the fridge
ask CN whether he live in an apartment or house	hi CN, SCN asks whether you live in an apartment or house
ask CN whether he is working as a team or working alone in that project	hi CN, SCN asks whether you are working as a team or working alone in that project
ask CN do you like to watch scary movie or a funny movie	hi CN, SCN asks whether you like to watch scary movie or a funny movie
ask CN whether he like reading or writing	hi CN, SCN asks whether you like reading or writing
ask CN about the flight ticket status	hey CN, SCN is asking about the flight ticket status
ask CN about the travel plan	hi CN, SCN asks about the travel plan
ask CN about SCN	hey CN, SCN is asking about SCN
ask CN about decorating the party hall	hey CN, SCN is asking about decorating the party hall
remind CN to book bus tickets and accommodation	hi CN, SCN asks you to book bus tickets and accommodation
Ask CN, can you cook crab masala	hey CN, SCN is requesting you to cook crab masala
Ask CN, can you Go on a hike	hey CN, SCN is requesting you to Go on a hike
Ask CN, can you Watch the sunrise	hey CN, SCN is requesting you to Watch the sunrise
Ask CN, can you Go surfing	hey CN, SCN is requesting you to Go surfing
Ask CN, can you Go for a bike ride	hey CN, SCN is requesting you to Go for a bike ride
Ask CN, can you Have a picnic in a park	hey CN, SCN is requesting you to Have a picnic in a park
Ask CN, can you Sleep or nap in a hammock	hey CN, SCN is requesting you to Sleep or nap in a hammock
Ask CN, can you Go to a festival	hey CN, SCN is requesting you to Go to a festival
Ask CN, can you Save money for travel	hey CN, SCN is requesting you to Save money for travel
Ask CN, can you Visit a new country	hey CN, SCN is requesting you to Visit a new country
Ask CN, can you See the snow	hey CN, SCN is requesting you to See the snow
Ask CN, can you Stay in a treehouse	hey CN, SCN is requesting you to Stay in a treehouse
Ask CN, can you Relax in a spa bath	hey CN, SCN is requesting you to Relax in a spa bath
Ask CN, can you Get a haircut or color	hey CN, SCN is requesting you to Get a haircut or color
Ask CN, can you  Make a staple from scratch	hey CN, SCN is requesting you to  Make a staple from scratch
Ask CN, can you Have brunch with friends	hey CN, SCN is requesting you to Have brunch with friends
Ask CN, can you Take a cooking class	hey CN, SCN is requesting you to Take a cooking class
Ask CN, can you Eat street food	hey CN, SCN is requesting you to Eat street food
Ask CN, can you  Do a spring clean	hey CN, SCN is requesting you to  Do a spring clean
Ask CN, can you Read a book	hey CN, SCN is requesting you to Read a book
Ask CN, can you Send flowers to rosy	hey CN, SCN is requesting you to Send flowers to rosy
Ask CN, can you Learn some new words in a different language	hey CN, SCN is requesting you to Learn some new words in a different language
Ask CN, can you Get a massage	hey CN, SCN is requesting you to Get a massage
Ask CN, can you Clean up your laptop desktop and folders	hey CN, SCN is requesting you to Clean up your laptop desktop and folders
Ask CN, can you Plant a tree	hey CN, SCN is requesting you to Plant a tree
Ask CN, can you Paint a picture	hey CN, SCN is requesting you to Paint a picture
Ask CN, can you Do an online course	hey CN, SCN is requesting you to Do an online course
Ask CN, can you Play Twister	hey CN, SCN is requesting you to Play Twister
Ask CN, can you Attend a live music gig or concert	hey CN, SCN is requesting you to Attend a live music gig or concert
Ask CN, can you Drive a tank	hey CN, SCN is requesting you to Drive a tank
Ask CN, can you Take a cooking course	hey CN, SCN is requesting you to Take a cooking course
Ask CN, can you Direct and film a movie	hey CN, SCN is requesting you to Direct and film a movie
Ask CN, can you Design an award winning app	hey CN, SCN is requesting you to Design an award winning app
Ask CN, can you Create a vlog	hey CN, SCN is requesting you to Create a vlog
Ask CN, can you Open up donation based gym	hey CN, SCN is requesting you to Open up donation based gym
Ask CN, can you Start a leadership club	hey CN, SCN is requesting you to Start a leadership club
Ask CN, can you Learn German	hey CN, SCN is requesting you to Learn German
Ask CN, can you Write a cookbook	hey CN, SCN is requesting you to Write a cookbook
Ask CN, can you Teach craft classes	hey CN, SCN is requesting you to Teach craft classes
Ask CN, can you Host a family reunion	hey CN, SCN is requesting you to Host a family reunion
Ask CN, can you Start a website with blog images	hey CN, SCN is requesting you to Start a website with blog images
Ask CN, if he wants Pumpkin pie or apple pie?	hey CN, SCN is asking if you want Pumpkin pie or apple pie?
Ask CN, if he wants Sushi or smoked fish	hey CN, SCN is asking if you want Sushi or smoked fish
Ask CN, if he wants Black coffee or cream and sugar	hey CN, SCN is asking if you want Black coffee or cream and sugar
Ask CN, if he wants Tattoos or piercings	hey CN, SCN is asking if you want Tattoos or piercings
Ask CN, if he wants Bright or neutral colors	hey CN, SCN is asking if you want Bright or neutral colors
Ask CN, if he wants Book or Kindle	hey CN, SCN is asking if you want Book or Kindle
Ask CN, if he wants Theme park or water park	hey CN, SCN is asking if you want Theme park or water park
Ask CN, if he wants Fan or air conditioner	hey CN, SCN is asking if you want Fan or air conditioner
Ask CN, can you return the car tommorow	hey CN, SCN is requesting you to return the car tommorow
Ask CN, can you clean the store rooms	hey CN, SCN is requesting you to clean the store rooms
Ask CN, can you change the ceiling light 	hey CN, SCN is requesting you to change the ceiling light 
Ask CN, can you plan for the outing	hey CN, SCN is requesting you to plan for the outing
Ask CN, can you buy pasteries and muffins	hey CN, SCN is requesting you to buy pasteries and muffins
Ask CN, can you buy air cooler	hey CN, SCN is requesting you to buy air cooler
Ask CN, can you fix the bike tyre	hey CN, SCN is requesting you to fix the bike tyre
Ask CN, can you review the currentshare market price	hey CN, SCN is requesting you to review the currentshare market price
Ask CN, can you enroll for the cricket tournament	hey CN, SCN is requesting you to enroll for the cricket tournament
Ask CN, can you install updated os in the system	hey CN, SCN is requesting you to install updated os in the system
Ask CN, can you select a latest model phone for the kids	hey CN, SCN is requesting you to select a latest model phone for the kids
Ask CN, can you arrange food for the meeting	hey CN, SCN is requesting you to arrange food for the meeting
Ask CN, can you pick up the kids from kindergarden	hey CN, SCN is requesting you to pick up the kids from kindergarden
Ask CN, can you train kids to sleep early	hey CN, SCN is requesting you to train kids to sleep early
Ask CN, can you split up the work 	hey CN, SCN is requesting you to split up the work 
Ask CN, can you attend the conference meeting tommorow	hey CN, SCN is requesting you to attend the conference meeting tommorow
Ask CN, can you turn on the dishwasher	hey CN, SCN is requesting you to turn on the dishwasher
Ask CN, can you renew the passport	hey CN, SCN is requesting you to renew the passport
Ask CN, can you attend java class	hey CN, SCN is requesting you to attend java class
Ask CN, can you buy country chicken eggs	hey CN, SCN is requesting you to buy country chicken eggs
Ask CN, can you visit thirupathi temple	hey CN, SCN is requesting you to visit thirupathi temple
Ask CN, can you water the plants daily	hey CN, SCN is requesting you to water the plants daily
Ask CN, can you add pebbles and water plants in the fish tank	hey CN, SCN is requesting you to add pebbles and water plants in the fish tank
Ask CN, can you record the movie song	hey CN, SCN is requesting you to record the movie song
Ask CN, can you organize the furnitures 	hey CN, SCN is requesting you to organize the furnitures 
Ask CN, can you buy smart speakers	hey CN, SCN is requesting you to buy smart speakers
Ask CN, can you clean the bed	hey CN, SCN is requesting you to clean the bed
Ask CN, can you work overtime on Sunday	hey CN, SCN is requesting you to work overtime on Sunday
Ask CN, can you park the vehicles in the allocated location	hey CN, SCN is requesting you to park the vehicles in the allocated location
tell CN, give return gifts to the kids	hey CN, SCN says you to give return gifts to the kids
Ask CN, can you book table for breakfast	hey CN, SCN is requesting you to book table for breakfast
can you remind CN to buy amazon stocks 	hi CN, SCN reminds you to buy amazon stocks 
can you remind CN to collect data about the members	hi CN, SCN reminds you to collect data about the members
can you remind CN to buy paints from the store	hi CN, SCN reminds you to buy paints from the store
can you remind CN to sell the stocks before next month	hi CN, SCN reminds you to sell the stocks before next month
can you remind CN to buy lens for the camera	hi CN, SCN reminds you to buy lens for the camera
can you remind CN to clean the camera lens	hi CN, SCN reminds you to clean the camera lens
can you remind CN to compartmentalize the grocerries	hi CN, SCN reminds you to compartmentalize the grocerries
can you remind CN to pay the emi for the phone	hi CN, SCN reminds you to pay the emi for the phone
can you remind CN to close the loan 	hi CN, SCN reminds you to close the loan 
can you remind CN to get adapter for the tv	hi CN, SCN reminds you to get adapter for the tv
can you remind CN to take the car to car wash	hi CN, SCN reminds you to take the car to car wash
can you remind CN to replace the old audio system	hi CN, SCN reminds you to replace the old audio system
can you remind CN to organize a new year party	hi CN, SCN reminds you to organize a new year party
can you remind CN to contact the organizers	hi CN, SCN reminds you to contact the organizers
can you remind CN to remove the bloatware from the smartphone	hi CN, SCN reminds you to remove the bloatware from the smartphone
can you remind CN to wash the kids clothes today	hi CN, SCN reminds you to wash the kids clothes today
can you remind CN to buy mixer grinder for the house	hi CN, SCN reminds you to buy mixer grinder for the house
can you remind CN to join the video conferencing from home	hi CN, SCN reminds you to join the video conferencing from home
can you remind CN to finish the work assignment today	hi CN, SCN reminds you to finish the work assignment today
can you remind CN to make modifications to the project	hi CN, SCN reminds you to make modifications to the project
can you remind CN to modify the car as per the requirements	hi CN, SCN reminds you to modify the car as per the requirements
can you remind CN to invest in stocks	hi CN, SCN reminds you to invest in stocks
can you remind CN to pack up kids luggage	hi CN, SCN reminds you to pack up kids luggage
can you remind CN to get new dress for new year	hi CN, SCN reminds you to get new dress for new year
can you remind CN to borrow books form the library	hi CN, SCN reminds you to borrow books form the library
can you remind CN to flash the lastest version today	hi CN, SCN reminds you to flash the lastest version today
can you remind CN to backup the computer every month	hi CN, SCN reminds you to backup the computer every month
can you remind CN to cancel the appointment with the doctor	hi CN, SCN reminds you to cancel the appointment with the doctor
can you remind CN to buy car polish 	hi CN, SCN reminds you to buy car polish 
can you remind CN to buy cover for the car	hi CN, SCN reminds you to buy cover for the car
can you remind CN to send a detailed report	hi CN, SCN reminds you to send a detailed report
can you remind CN to finish the mix tape	hi CN, SCN reminds you to finish the mix tape
can you remind CN to buy vga cable	hi CN, SCN reminds you to buy vga cable
can you remind CN to buy music cd's	hi CN, SCN reminds you to buy music cd's
can you remind CN to buy veggies for the burger	hi CN, SCN reminds you to buy veggies for the burger
can you remind CN to get fruits 	hi CN, SCN reminds you to get fruits 
can you remind CN to make an appointment with the doctor	hi CN, SCN reminds you to make an appointment with the doctor
can you remind CN to refill the vending machine	hi CN, SCN reminds you to refill the vending machine
can you remind CN to label the inventory	hi CN, SCN reminds you to label the inventory
can you remind CN to clean the floor	hi CN, SCN reminds you to clean the floor
can you remind CN to clean the car	hi CN, SCN reminds you to clean the car
can you remind CN to set appointment with the officials	hi CN, SCN reminds you to set appointment with the officials
can you remind CN to collect data for data mining	hi CN, SCN reminds you to collect data for data mining
can you remind CN to clean up the workspace	hi CN, SCN reminds you to clean up the workspace
can you remind CN to clear the garbage	hi CN, SCN reminds you to clear the garbage
can you remind CN to complete the tax filings	hi CN, SCN reminds you to complete the tax filings
can you remind CN to pay the entertainment tax	hi CN, SCN reminds you to pay the entertainment tax
can you remind CN to pay for car parking	hi CN, SCN reminds you to pay for car parking
can you remind CN to collect rent	hi CN, SCN reminds you to collect rent
can you remind CN to throw away the unused items form kitchen	hi CN, SCN reminds you to throw away the unused items form kitchen
can you remind CN to buy soup from the supermarket	hi CN, SCN reminds you to buy soup from the supermarket
can you remind CN to calculate the taxes to be paid	hi CN, SCN reminds you to calculate the taxes to be paid
can you remind CN to calculate the monthly expenditure	hi CN, SCN reminds you to calculate the monthly expenditure
can you remind CN to produce the music track	hi CN, SCN reminds you to produce the music track
can you remind CN to purchase containers	hi CN, SCN reminds you to purchase containers
can you remind CN to buy uv filter	hi CN, SCN reminds you to buy uv filter
can you remind CN to get book from the store	hi CN, SCN reminds you to get book from the store
can you remind CN to cancel the booking for the movie	hi CN, SCN reminds you to cancel the booking for the movie
can you remind CN to get the data from the sheet	hi CN, SCN reminds you to get the data from the sheet
can you remind CN to paint the walls green	hi CN, SCN reminds you to paint the walls green
can you remind CN to send an aknowledgement mail today	hi CN, SCN reminds you to send an aknowledgement mail today
can you remind CN to deposit money	hi CN, SCN reminds you to deposit money
can you remind CN to buy refills for the pen	hi CN, SCN reminds you to buy refills for the pen
can you remind CN to get pasta 	hi CN, SCN reminds you to get pasta 
can you remind CN to buy a laptop	hi CN, SCN reminds you to buy a laptop
can you remind CN to buy noise cancelling headphones	hi CN, SCN reminds you to buy noise cancelling headphones
can you remind CN to fill up the water bottle	hi CN, SCN reminds you to fill up the water bottle
can you remind CN to clean the headphones	hi CN, SCN reminds you to clean the headphones
can you remind CN to clean the kids room	hi CN, SCN reminds you to clean the kids room
can you remind CN to book tickets for the summer concert	hi CN, SCN reminds you to book tickets for the summer concert
can you remind CN to buy windsheild glass for the car	hi CN, SCN reminds you to buy windsheild glass for the car
can you remind CN to fix the spotty internet	hi CN, SCN reminds you to fix the spotty internet
can you remind CN to fix the water leak	hi CN, SCN reminds you to fix the water leak
can you remind CN to call the technician	hi CN, SCN reminds you to call the technician
can you ask CN what would she like carnatic or hindustani	hi CN, SCN asks what would you like carnatic or hindustani
can you ask CN to choose between baseball and basketball	hi CN, SCN asks you to choose between baseball and basketball
can you ask CN to pick between ferrari and lamborgini	hi CN, SCN asks you to pick between ferrari and lamborgini
can you ask CN to choose between blue and white jeans	hi CN, SCN asks you to choose between blue and white jeans
can you ask CN to choose between air india and air asia	hi CN, SCN asks you to choose between air india and air asia
ask CN to choose between green and black	hi CN, SCN asks you to choose between green and black
ask CN to choose between apple watch and fitbit	hi CN, SCN asks you to choose between apple watch and fitbit
ask CN to choose between oats and eggs for breakfast	hi CN, SCN asks you to choose between oats and eggs for breakfast
ask CN to choose between laptops and convertibles	hi CN, SCN asks you to choose between laptops and convertibles
ask CN to choose between hatchback and sedan	hi CN, SCN asks you to choose between hatchback and sedan
can you ask CN about the bags from the super market	hi CN, SCN wants to know about the bags from the super market
can you ask CN about the quality of food served	hi CN, SCN wants to know about the quality of food served
can you ask CN about the new year resolutions	hi CN, SCN wants to know about the new year resolutions
can you ask CN about the delegates attending the party	hi CN, SCN wants to know about the delegates attending the party
can you ask CN about the organization	hi CN, SCN wants to know about the organization
can you ask CN about the focus of the company	hi CN, SCN wants to know about the focus of the company
can you ask CN about the startergy followed	hi CN, SCN wants to know about the startergy followed
can you ask CN about the price of the new phone	hi CN, SCN wants to know about the price of the new phone
can you ask CN about the price to performance ratio	hi CN, SCN wants to know about the price to performance ratio
can you ask CN about the statergy being followed	hi CN, SCN wants to know about the statergy being followed
can you ask CN about the ph level of ground water in ambattur	hi CN, SCN wants to know about the ph level of ground water in ambattur
can you ask CN about the music concert	hi CN, SCN wants to know about the music concert
can you ask CN about the laptop's gpu clock speed	hi CN, SCN wants to know about the laptop's gpu clock speed
can you ask CN about the ideal room temperature	hi CN, SCN wants to know about the ideal room temperature
can you ask CN about the squid recipie	hi CN, SCN wants to know about the squid recipie
Remind CN to attend the special class in the evening 	SCN reminds to attend the special class in the evening 
Remind CN to exchange the book tomorrow 	SCN reminds to exchange the book tomorrow 
Remind CN to contact help desk after checking the payslip 	SCN reminds to contact help desk after checking the payslip 
Remind CN to buy carpets in Miras Carpet Industries, bangalore	SCN reminds to buy carpets in Miras Carpet Industries, bangalore
Remind CN to get chinese food for dinner tonight 	SCN reminds to get chinese food for dinner tonight 
Remind CN to withdraw cash from hdfc bank	SCN reminds to withdraw cash from hdfc bank
Remind CN to order medicines at medway hospital	SCN reminds to order medicines at medway hospital
Remind CN to consult doctor in the evening 	SCN reminds to consult doctor in the evening 
Remind CN to get inverter at luminous shop, guindy	SCN reminds to get inverter at luminous shop, guindy
Remind CN to buy suit at Canali Boutique, italy	SCN reminds to buy suit at Canali Boutique, italy
Remind CN to water wash the car while returning 	SCN reminds to water wash the car while returning 
Remind CN to get Full Synthetic engine oil from shell oil company	SCN reminds to get Full Synthetic engine oil from shell oil company
Remind CN to submit the license form today 	SCN reminds to submit the license form today 
Remind CN to share the game id before evening 	SCN reminds to share the game id before evening 
Remind CN to share the e-ticket when booking is confirmed 	SCN reminds to share the e-ticket when booking is confirmed 
Remind CN to change the keyboard in the morning 	SCN reminds to change the keyboard in the morning 
Remind CN to check the availability at hilton, chennai on 05-01-2020	SCN reminds to check the availability at hilton, chennai on 05-01-2020
Remind CN to meet at shawn home today 	SCN reminds to meet at shawn home today 
Remind CN to get ready for dinner before 5.00 pm 	SCN reminds to get ready for dinner before 5.00 pm 
Remind CN to change the handle grip in the evening 	SCN reminds to change the handle grip in the evening 
Remind CN to get sony x3 headphones before the sale ends 	SCN reminds to get sony x3 headphones before the sale ends 
Remind CN to provide the SCNtmas gifts in the morning 	SCN reminds to provide the SCNtmas gifts in the morning 
Remind CN to deliver the goods at resh's home	SCN reminds to deliver the goods at resh's home
Remind CN to change the bulbs when ever possible 	SCN reminds to change the bulbs when ever possible 
Remind CN to clear the ground after the final event	SCN reminds to clear the ground after the final event
Remind CN to get the multivitamin capsules while visiting the store 	SCN reminds to get the multivitamin capsules while visiting the store 
Remind CN to split the c drive before starting the process	SCN reminds to split the c drive before starting the process
Remind CN to provide the copy of the degree certificate before joining 	SCN reminds to provide the copy of the degree certificate before joining 
Remind CN to check alternate route 	SCN reminds to check alternate route 
Remind CN to get cakes from Ferns N Petals	SCN reminds to get cakes from Ferns N Petals
Remind CN to double check the report before uploading 	SCN reminds to double check the report before uploading 
Remind CN to organize community events at semmozhi poonga, chennai	SCN reminds to organize community events at semmozhi poonga, chennai
Remind CN to create a website today 	SCN reminds to create a website today 
Remind CN to get coffee blender while leaving office 	SCN reminds to get coffee blender while leaving office 
Remind CN to have a full body checkup at apollo hospital chennai	SCN reminds to have a full body checkup at apollo hospital chennai
Remind CN to check the order status in the evening 	SCN reminds to check the order status in the evening 
Remind CN to submit the demo project before February 	SCN reminds to submit the demo project before February 
Remind CN to changethe disc before august	SCN reminds to changethe disc before august
Remind CN to publish the picture on 1st of july 	SCN reminds to publish the picture on 1st of july 
Remind CN to change the monitor in the evening 	SCN reminds to change the monitor in the evening 
Remind CN to meet at marina mall 	SCN reminds to meet at marina mall 
Remind CN to organize data required before clustering 	SCN reminds to organize data required before clustering 
Remind CN to meet principal at the university 	SCN reminds to meet principal at the university 
Remind CN to join yoga class at isha foundation	SCN reminds to join yoga class at isha foundation
Remind CN to create new test cases after completing this cycle 	SCN reminds to create new test cases after completing this cycle 
Remind CN to apply debit card loan at hdfc bank	SCN reminds to apply debit card loan at hdfc bank
Remind CN to check the eyesight this weekend 	SCN reminds to check the eyesight this weekend 
Remind CN to get laptop protection cover at imagine store 	SCN reminds to get laptop protection cover at imagine store 
Remind CN to contact the Admin today 	SCN reminds to contact the Admin today 
Remind CN to delete all the records of last week 	SCN reminds to delete all the records of last week 
Remind CN to change the port while connecting 	SCN reminds to change the port while connecting 
Remind CN to get bill when purchase is made 	SCN reminds to get bill when purchase is made 
Remind CN to check the warranty details before purchasing 	SCN reminds to check the warranty details before purchasing 
Remind CN to check for any damage when delivery is made	SCN reminds to check for any damage when delivery is made
Remind CN to make note of items delivery today 	SCN reminds to make note of items delivery today 
Remind CN to order alexa device for the home 	SCN reminds to order alexa device for the home 
Remind CN to change the brake oil at workshop 	SCN reminds to change the brake oil at workshop 
Remind CN to initiate return process by evening 	SCN reminds to initiate return process by evening 
Remind CN to make a pie chart for sales last year 	SCN reminds to make a pie chart for sales last year 
Remind CN to change the supplement brand when purchasing next time 	SCN reminds to change the supplement brand when purchasing next time 
Remind CN to prioritize the task in the morning 	SCN reminds to prioritize the task in the morning 
Remind CN to purchase hair mask at schwarzkopf outlet	SCN reminds to purchase hair mask at schwarzkopf outlet
Remind CN to turn off the coffee maker before going to bed	SCN reminds to turn off the coffee maker before going to bed
Remind CN to get trimmer with adjustable blade while purchasing 	SCN reminds to get trimmer with adjustable blade while purchasing 
Remind CN to collect information about hair transplant price in india 	SCN reminds to collect information about hair transplant price in india 
Remind CN to donate blood at SCN university medical camp	SCN reminds to donate blood at SCN university medical camp
Remind CN to apply for passbook today 	SCN reminds to apply for passbook today 
Remind CN to block website cookies while surfing 	SCN reminds to block website cookies while surfing 
Remind CN to bring car tomorrow 	SCN reminds to bring car tomorrow 
Remind CN to add buffet for lunch while making booking 	SCN reminds to add buffet for lunch while making booking 
Remind CN to set data usage limit while adding users	SCN reminds to set data usage limit while adding users
Remind CN to check the interest amount every quarter 	SCN reminds to check the interest amount every quarter 
